tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,laki_laki,perempuan
2020,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,2483,2403
2020,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,2505,2446
2020,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,937,933
2020,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,870,859
2020,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,2081,2066
2020,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,1247,1217
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,1272,1230
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,7359,7748
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,8540,8587
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,7397,6988
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,5052,4974
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,9678,9393
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,6279,6526
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,12468,12363
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,10608,10954
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,7928,8363
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,13557,13212
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,9832,9828
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,13716,14034
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,10702,10669
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,13695,14085
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,9452,9277
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,15332,15558
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,10557,10939
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,13847,13416
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,3254,3165
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,4575,4555
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,10997,11215
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,13729,13233
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,7223,7313
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,8577,8518
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,11191,11650
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,16541,16828
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,10157,10466
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,11929,12050
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,10988,11025
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,3923,3987
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,1846,2091
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,5963,5703
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,1447,1510
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,9990,10374
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,8955,8784
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,15715,15170
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,15263,14742
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,10115,10156
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,5480,5535
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,17239,17574
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,10006,9780
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,8570,8257
2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,17893,17450
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,41008,38368
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,5706,5653
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,16048,16014
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,33974,34293
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PLUIT,21192,22700
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,15655,15548
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,28418,28600
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,17622,17508
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,13556,13410
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,23299,22912
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,32017,33320
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,20093,19933
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,13180,12331
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,30259,30405
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,26541,26705
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,15716,15296
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,17596,17353
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,19012,18824
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,19364,19064
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,24273,24822
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,12625,12422
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,30358,29837
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,16149,16259
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,18228,18267
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,30799,30948
2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,16869,17441
